3/19/18 12:53 AM
Project Statistics

                 	Segments	Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	   17836	96538	                     590972	                       660905	   618	
Remaining:       	   17835	96536	                     590956	                       660888	   618	
Unique:          	   12260	63836	                     336719	                       386513	   575	
Unique Remaining:	   12259	63834	                     336703	                       386496	   575	


Individual File Statistics:

File Name                             	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
[DLG_104]-zh_Hans.po                  	            12	                12	              7	                        7	         69	             69	          27	                    27	                              520	                                  520	                               151	                                         151	                                566	                                    566	                                 171	                                           171	
[DLG_114]-zh_Hans.po                  	            20	                20	             13	                       13	         82	             82	          43	                    43	                              571	                                  571	                               237	                                         237	                                620	                                    620	                                 265	                                           265	
[DLG_118]-zh_Hans.po                  	             6	                 6	              1	                        1	         49	             49	           3	                     3	                              402	                                  402	                                20	                                          20	                                434	                                    434	                                  22	                                            22	
[DLG_120]-zh_Hans.po                  	             6	                 6	              1	                        1	         41	             41	           3	                     3	                              354	                                  354	                                19	                                          19	                                378	                                    378	                                  21	                                            21	
[DLG_121]-zh_Hans.po                  	             8	                 8	              4	                        4	         44	             44	           7	                     7	                              374	                                  374	                                46	                                          46	                                398	                                    398	                                  48	                                            48	
[DLG_122]-zh_Hans.po                  	            26	                26	              6	                        6	         92	             92	          21	                    21	                              646	                                  646	                               135	                                         135	                                704	                                    704	                                 151	                                           151	
[DLG_124]-zh_Hans.po                  	            13	                13	              4	                        4	         60	             60	          11	                    11	                              462	                                  462	                                66	                                          66	                                498	                                    498	                                  73	                                            73	
[DLG_125]-zh_Hans.po                  	            11	                11	              4	                        4	         52	             52	          12	                    12	                              428	                                  428	                                77	                                          77	                                458	                                    458	                                  85	                                            85	
[DLG_126]-zh_Hans.po                  	            17	                17	             14	                       14	         96	             96	          62	                    62	                              665	                                  665	                               352	                                         352	                                729	                                    729	                                 395	                                           395	
[DLG_127]-zh_Hans.po                  	             7	                 7	              2	                        2	         44	             44	           6	                     6	                              368	                                  368	                                33	                                          33	                                394	                                    394	                                  37	                                            37	
[DLG_128]-zh_Hans.po                  	             8	                 8	              1	                        1	         41	             41	           2	                     2	                              351	                                  351	                                17	                                          17	                                373	                                    373	                                  18	                                            18	
[DLG_129]-zh_Hans.po                  	            14	                14	              9	                        9	         90	             90	          52	                    52	                              628	                                  628	                               290	                                         290	                                692	                                    692	                                 332	                                           332	
[DLG_130]-zh_Hans.po                  	            11	                11	              6	                        6	         62	             62	          16	                    16	                              451	                                  451	                                82	                                          82	                                488	                                    488	                                  92	                                            92	
[DLG_131]-zh_Hans.po                  	             7	                 7	              1	                        1	         40	             40	           3	                     3	                              343	                                  343	                                14	                                          14	                                367	                                    367	                                  17	                                            17	
[DLG_132]-zh_Hans.po                  	             9	                 9	              1	                        1	         44	             44	           3	                     3	                              356	                                  356	                                 8	                                           8	                                380	                                    380	                                  10	                                            10	
[DLG_133]-zh_Hans.po                  	             5	                 5	              1	                        1	         39	             39	           3	                     3	                              347	                                  347	                                20	                                          20	                                370	                                    370	                                  22	                                            22	
[DLG_134]-zh_Hans.po                  	             8	                 8	              3	                        3	         46	             46	          10	                    10	                              387	                                  387	                                57	                                          57	                                415	                                    415	                                  64	                                            64	
[DLG_135]-zh_Hans.po                  	             6	                 6	              2	                        2	         40	             40	           4	                     4	                              353	                                  353	                                31	                                          31	                                376	                                    376	                                  33	                                            33	
[DLG_136]-zh_Hans.po                  	            31	                31	             27	                       27	        190	            190	         145	                   145	                             1109	                                 1109	                               754	                                         754	                               1249	                                   1249	                                 864	                                           864	
[DLG_137]-zh_Hans.po                  	            31	                31	             24	                       24	        167	            167	         119	                   119	                             1049	                                 1049	                               664	                                         664	                               1172	                                   1172	                                 760	                                           760	
[DLG_138]-zh_Hans.po                  	            26	                26	             23	                       23	        185	            185	         150	                   150	                             1144	                                 1144	                               830	                                         830	                               1289	                                   1289	                                 954	                                           954	
[DLG_139]-zh_Hans.po                  	            34	                34	             28	                       28	        174	            174	         134	                   134	                             1109	                                 1109	                               763	                                         763	                               1233	                                   1233	                                 864	                                           864	
[DLG_140]-zh_Hans.po                  	            10	                10	              0	                        0	         42	             42	           0	                     0	                              353	                                  353	                                 0	                                           0	                                374	                                    374	                                   0	                                             0	
[DLG_141]-zh_Hans.po                  	             7	                 7	              2	                        2	         43	             43	           5	                     5	                              362	                                  362	                                32	                                          32	                                386	                                    386	                                  34	                                            34	
[DLG_142]-zh_Hans.po                  	            14	                14	             11	                       11	         88	             88	          51	                    51	                              609	                                  609	                               281	                                         281	                                672	                                    672	                                 321	                                           321	
[DLG_143]-zh_Hans.po                  	             9	                 9	              5	                        5	         87	             87	          51	                    51	                              520	                                  520	                               200	                                         200	                                584	                                    584	                                 243	                                           243	
[DLG_145]-zh_Hans.po                  	            11	                11	              7	                        7	         57	             57	          19	                    19	                              449	                                  449	                               116	                                         116	                                482	                                    482	                                 126	                                           126	
[DLG_146]-zh_Hans.po                  	             5	                 5	              3	                        3	         49	             49	          15	                    15	                              403	                                  403	                                91	                                          91	                                436	                                    436	                                 103	                                           103	
[DLG_147]-zh_Hans.po                  	             6	                 6	              2	                        2	         37	             37	           2	                     2	                              325	                                  325	                                 7	                                           7	                                347	                                    347	                                   8	                                             8	
[DLG_148]-zh_Hans.po                  	             4	                 4	              1	                        1	         38	             38	           3	                     3	                              337	                                  337	                                20	                                          20	                                360	                                    360	                                  22	                                            22	
[DLG_151]-zh_Hans.po                  	             3	                 3	              0	                        0	         35	             35	           0	                     0	                              317	                                  317	                                 0	                                           0	                                338	                                    338	                                   0	                                             0	
[DLG_152]-zh_Hans.po                  	             6	                 6	              0	                        0	         37	             37	           0	                     0	                              323	                                  323	                                 0	                                           0	                                344	                                    344	                                   0	                                             0	
[DLG_153]-zh_Hans.po                  	            15	                15	             10	                       10	         86	             86	          46	                    46	                              609	                                  609	                               269	                                         269	                                666	                                    666	                                 302	                                           302	
[DLG_154]-zh_Hans.po                  	            20	                20	             17	                       17	        131	            131	          96	                    96	                              815	                                  815	                               495	                                         495	                                915	                                    915	                                 574	                                           574	
[DLG_155]-zh_Hans.po                  	             7	                 7	              4	                        4	         55	             55	          15	                    15	                              417	                                  417	                                74	                                          74	                                454	                                    454	                                  85	                                            85	
[DLG_156]-zh_Hans.po                  	            19	                19	             16	                       16	        136	            136	         100	                   100	                              870	                                  870	                               547	                                         547	                                971	                                    971	                                 626	                                           626	
[DLG_157]-zh_Hans.po                  	            12	                12	              6	                        6	         73	             73	          35	                    35	                              543	                                  543	                               213	                                         213	                                591	                                    591	                                 240	                                           240	
[DLG_158]-zh_Hans.po                  	             7	                 7	              3	                        3	         44	             44	           8	                     8	                              374	                                  374	                                54	                                          54	                                400	                                    400	                                  59	                                            59	
[DLG_159]-zh_Hans.po                  	             8	                 8	              4	                        4	         67	             67	          29	                    29	                              479	                                  479	                               138	                                         138	                                527	                                    527	                                 163	                                           163	
[DLG_160]-zh_Hans.po                  	             7	                 7	              1	                        1	         40	             40	           2	                     2	                              345	                                  345	                                15	                                          15	                                367	                                    367	                                  16	                                            16	
[DLG_161]-zh_Hans.po                  	            10	                10	              5	                        5	         53	             53	          16	                    16	                              432	                                  432	                               103	                                         103	                                464	                                    464	                                 114	                                           114	
[DLG_163]-zh_Hans.po                  	             3	                 3	              1	                        1	         36	             36	           2	                     2	                              325	                                  325	                                13	                                          13	                                347	                                    347	                                  14	                                            14	
[DLG_164]-zh_Hans.po                  	             6	                 6	              1	                        1	         39	             39	           2	                     2	                              344	                                  344	                                14	                                          14	                                366	                                    366	                                  15	                                            15	
[DLG_165]-zh_Hans.po                  	            10	                10	              2	                        2	         46	             46	           6	                     6	                              383	                                  383	                                35	                                          35	                                408	                                    408	                                  39	                                            39	
[DLG_168]-zh_Hans.po                  	             3	                 3	              1	                        1	         39	             39	           5	                     5	                              334	                                  334	                                22	                                          22	                                359	                                    359	                                  26	                                            26	
[DLG_169]-zh_Hans.po                  	            10	                10	              0	                        0	         45	             45	           0	                     0	                              368	                                  368	                                 0	                                           0	                                392	                                    392	                                   0	                                             0	
[DLG_170]-zh_Hans.po                  	             4	                 4	              0	                        0	         37	             37	           0	                     0	                              328	                                  328	                                 0	                                           0	                                350	                                    350	                                   0	                                             0	
[DLG_171]-zh_Hans.po                  	            32	                32	             17	                       17	        108	            108	          58	                    58	                              757	                                  757	                               349	                                         349	                                822	                                    822	                                 390	                                           390	
[DLG_172]-zh_Hans.po                  	            21	                21	             19	                       19	        190	            190	         156	                   156	                             1111	                                 1111	                               799	                                         799	                               1266	                                   1266	                                 933	                                           933	
[DLG_173]-zh_Hans.po                  	            15	                15	              9	                        9	         73	             73	          34	                    34	                              481	                                  481	                               146	                                         146	                                522	                                    522	                                 165	                                           165	
[DLG_174]-zh_Hans.po                  	             3	                 3	              0	                        0	         35	             35	           0	                     0	                              319	                                  319	                                 0	                                           0	                                340	                                    340	                                   0	                                             0	
[DLG_175]-zh_Hans.po                  	             6	                 6	              1	                        1	         41	             41	           3	                     3	                              343	                                  343	                                12	                                          12	                                367	                                    367	                                  14	                                            14	
[DLG_176]-zh_Hans.po                  	            13	                13	              1	                        1	         51	             51	           3	                     3	                              412	                                  412	                                21	                                          21	                                439	                                    439	                                  23	                                            23	
[DLG_178]-zh_Hans.po                  	            32	                32	             23	                       23	        134	            134	          90	                    90	                              891	                                  891	                               530	                                         530	                                980	                                    980	                                 595	                                           595	
[DLG_179]-zh_Hans.po                  	             7	                 7	              2	                        2	         43	             43	           5	                     5	                              358	                                  358	                                30	                                          30	                                383	                                    383	                                  33	                                            33	
[DLG_180]-zh_Hans.po                  	             5	                 5	              0	                        0	         38	             38	           0	                     0	                              340	                                  340	                                 0	                                           0	                                362	                                    362	                                   0	                                             0	
[DLG_181]-zh_Hans.po                  	             6	                 6	              3	                        3	         47	             47	          12	                    12	                              385	                                  385	                                68	                                          68	                                415	                                    415	                                  77	                                            77	
[DLG_182]-zh_Hans.po                  	             3	                 3	              0	                        0	         36	             36	           0	                     0	                              325	                                  325	                                 0	                                           0	                                347	                                    347	                                   0	                                             0	
