3/19/18 12:53 AM
Project Statistics

                 	Segments	Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	   17836	96538	                     590972	                       660905	   618	
Remaining:       	   17835	96536	                     590956	                       660888	   618	
Unique:          	   12260	63836	                     336719	                       386513	   575	
Unique Remaining:	   12259	63834	                     336703	                       386496	   575	


Individual File Statistics:

File Name                             	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
[DLG_292]-zh_Hans.po                  	            12	                12	              9	                        9	         58	             58	          23	                    23	                              448	                                  448	                               131	                                         131	                                481	                                    481	                                 143	                                           143	
[DLG_376]-zh_Hans.po                  	            11	                11	              7	                        7	         72	             72	          35	                    35	                              537	                                  537	                               214	                                         214	                                587	                                    587	                                 242	                                           242	
[DLG_421]-zh_Hans.po                  	             7	                 7	              1	                        1	         42	             42	           3	                     3	                              350	                                  350	                                17	                                          17	                                374	                                    374	                                  19	                                            19	
[DLG_422]-zh_Hans.po                  	            22	                22	             10	                       10	         75	             75	          24	                    24	                              548	                                  548	                               144	                                         144	                                590	                                    590	                                 158	                                           158	
[DLG_423]-zh_Hans.po                  	             5	                 5	              2	                        2	         40	             40	           5	                     5	                              343	                                  343	                                29	                                          29	                                367	                                    367	                                  32	                                            32	
[DLG_424]-zh_Hans.po                  	             8	                 8	              2	                        2	         72	             72	          21	                    21	                              504	                                  504	                               107	                                         107	                                556	                                    556	                                 125	                                           125	
[DLG_425]-zh_Hans.po                  	            15	                15	              8	                        8	         96	             96	          51	                    51	                              665	                                  665	                               295	                                         295	                                735	                                    735	                                 338	                                           338	
[DLG_426]-zh_Hans.po                  	             6	                 6	              4	                        4	         55	             55	          21	                    21	                              417	                                  417	                               105	                                         105	                                455	                                    455	                                 122	                                           122	
[DLG_427]-zh_Hans.po                  	             8	                 8	              4	                        4	         44	             44	           8	                     8	                              372	                                  372	                                50	                                          50	                                397	                                    397	                                  54	                                            54	
[DLG_428]-zh_Hans.po                  	             9	                 9	              6	                        6	         59	             59	          20	                    20	                              427	                                  427	                                96	                                          96	                                466	                                    466	                                 110	                                           110	
[DLG_435]-zh_Hans.po                  	             4	                 4	              2	                        2	         45	             45	          11	                    11	                              358	                                  358	                                46	                                          46	                                388	                                    388	                                  55	                                            55	
[DLG_436]-zh_Hans.po                  	             4	                 4	              0	                        0	         36	             36	           0	                     0	                              320	                                  320	                                 0	                                           0	                                341	                                    341	                                   0	                                             0	
[DLG_437]-zh_Hans.po                  	             5	                 5	              1	                        1	         39	             39	           3	                     3	                              344	                                  344	                                22	                                          22	                                367	                                    367	                                  24	                                            24	
[DLG_438]-zh_Hans.po                  	            16	                16	              4	                        4	         56	             56	          10	                    10	                              457	                                  457	                                69	                                          69	                                485	                                    485	                                  74	                                            74	
[DLG_440]-zh_Hans.po                  	             9	                 9	              5	                        5	         51	             51	          15	                    15	                              393	                                  393	                                73	                                          73	                                424	                                    424	                                  83	                                            83	
[DLG_441]-zh_Hans.po                  	             9	                 9	              3	                        3	         49	             49	          10	                    10	                              390	                                  390	                                57	                                          57	                                419	                                    419	                                  64	                                            64	
[DLG_443]-zh_Hans.po                  	             4	                 4	              1	                        1	         37	             37	           2	                     2	                              327	                                  327	                                12	                                          12	                                349	                                    349	                                  13	                                            13	
[DLG_444]-zh_Hans.po                  	            27	                27	              7	                        7	         77	             77	          18	                    18	                              557	                                  557	                                90	                                          90	                                595	                                    595	                                 100	                                           100	
[DLG_446]-zh_Hans.po                  	             7	                 7	              3	                        3	         41	             41	           5	                     5	                              357	                                  357	                                33	                                          33	                                380	                                    380	                                  35	                                            35	
[DLG_447]-zh_Hans.po                  	            28	                28	             25	                       25	        182	            182	         146	                   146	                             1180	                                 1180	                               858	                                         858	                               1322	                                   1322	                                 978	                                           978	
[DLG_448]-zh_Hans.po                  	             3	                 3	              1	                        1	         35	             35	           1	                     1	                              319	                                  319	                                 7	                                           7	                                340	                                    340	                                   7	                                             7	
[DLG_449]-zh_Hans.po                  	            23	                23	             18	                       18	        148	            148	         109	                   109	                              979	                                  979	                               646	                                         646	                               1091	                                   1091	                                 735	                                           735	
[DLG_452]-zh_Hans.po                  	             5	                 5	              2	                        2	         52	             52	          17	                    17	                              398	                                  398	                                81	                                          81	                                434	                                    434	                                  96	                                            96	
[DLG_455]-zh_Hans.po                  	             6	                 6	              1	                        1	         38	             38	           1	                     1	                              337	                                  337	                                 7	                                           7	                                358	                                    358	                                   7	                                             7	
[DLG_456]-zh_Hans.po                  	            13	                13	              1	                        1	         48	             48	           1	                     1	                              395	                                  395	                                 4	                                           4	                                419	                                    419	                                   4	                                             4	
[DLG_457]-zh_Hans.po                  	            10	                10	              2	                        2	         42	             42	           2	                     2	                              364	                                  364	                                17	                                          17	                                385	                                    385	                                  17	                                            17	
[DLG_458]-zh_Hans.po                  	            29	                29	             25	                       25	        149	            149	         113	                   113	                              904	                                  904	                               586	                                         586	                               1010	                                   1010	                                 671	                                           671	
[DLG_459]-zh_Hans.po                  	            30	                30	             27	                       27	        198	            198	         162	                   162	                             1178	                                 1178	                               856	                                         856	                               1331	                                   1331	                                 987	                                           987	
[DLG_464]-zh_Hans.po                  	            10	                10	              6	                        6	         68	             68	          32	                    32	                              504	                                  504	                               184	                                         184	                                550	                                    550	                                 209	                                           209	
[DLG_465]-zh_Hans.po                  	            12	                12	              5	                        5	         75	             75	          35	                    35	                              552	                                  552	                               194	                                         194	                                605	                                    605	                                 224	                                           224	
[DLG_466]-zh_Hans.po                  	            12	                12	              9	                        9	        100	            100	          65	                    65	                              644	                                  644	                               326	                                         326	                                720	                                    720	                                 381	                                           381	
[DLG_467]-zh_Hans.po                  	             9	                 9	              3	                        3	         48	             48	           6	                     6	                              376	                                  376	                                32	                                          32	                                403	                                    403	                                  34	                                            34	
[DLG_469]-zh_Hans.po                  	            11	                11	              2	                        2	         47	             47	           5	                     5	                              382	                                  382	                                24	                                          24	                                407	                                    407	                                  27	                                            27	
[DLG_470]-zh_Hans.po                  	             4	                 4	              0	                        0	         36	             36	           0	                     0	                              320	                                  320	                                 0	                                           0	                                341	                                    341	                                   0	                                             0	
[DLG_471]-zh_Hans.po                  	             9	                 9	              5	                        5	         66	             66	          30	                    30	                              494	                                  494	                               167	                                         167	                                540	                                    540	                                 192	                                           192	
[DLG_472]-zh_Hans.po                  	             5	                 5	              2	                        2	         40	             40	           5	                     5	                              344	                                  344	                                28	                                          28	                                368	                                    368	                                  31	                                            31	
[DLG_473]-zh_Hans.po                  	            13	                13	              5	                        5	        106	            106	          52	                    52	                              708	                                  708	                               278	                                         278	                                790	                                    790	                                 325	                                           325	
[DLG_474]-zh_Hans.po                  	             9	                 9	              6	                        6	         93	             93	          58	                    58	                              635	                                  635	                               314	                                         314	                                708	                                    708	                                 366	                                           366	
[DLG_475]-zh_Hans.po                  	            51	                51	             29	                       29	        130	            130	          67	                    67	                              857	                                  857	                               388	                                         388	                                922	                                    922	                                 423	                                           423	
[DLG_476]-zh_Hans.po                  	             6	                 6	              1	                        1	         39	             39	           2	                     2	                              339	                                  339	                                13	                                          13	                                361	                                    361	                                  14	                                            14	
[DLG_477]-zh_Hans.po                  	            15	                15	             12	                       12	        121	            121	          80	                    80	                              819	                                  819	                               469	                                         469	                                911	                                    911	                                 534	                                           534	
[DLG_478]-zh_Hans.po                  	            15	                15	             13	                       13	        138	            138	         104	                   104	                              890	                                  890	                               578	                                         578	                               1001	                                   1001	                                 668	                                           668	
[DLG_486]-zh_Hans.po                  	             9	                 9	              3	                        3	         49	             49	          11	                    11	                              404	                                  404	                                72	                                          72	                                433	                                    433	                                  80	                                            80	
[DLG_487]-zh_Hans.po                  	            10	                10	              4	                        4	         59	             59	          21	                    21	                              460	                                  460	                               126	                                         126	                                498	                                    498	                                 143	                                           143	
[DLG_488]-zh_Hans.po                  	             8	                 8	              2	                        2	         41	             41	           3	                     3	                              348	                                  348	                                18	                                          18	                                370	                                    370	                                  19	                                            19	
[DLG_490]-zh_Hans.po                  	            25	                25	             17	                       17	        177	            177	         107	                   107	                             1032	                                 1032	                               535	                                         535	                               1171	                                   1171	                                 623	                                           623	
[DLG_504]-zh_Hans.po                  	             9	                 9	              4	                        4	         50	             50	          12	                    12	                              395	                                  395	                                61	                                          61	                                425	                                    425	                                  69	                                            69	
[DLG_505]-zh_Hans.po                  	            14	                14	             12	                       12	        207	            207	         173	                   173	                             1313	                                 1313	                              1001	                                        1001	                               1493	                                   1493	                                1160	                                          1160	
[DLG_506]-zh_Hans.po                  	            42	                42	             17	                       17	        141	            141	          74	                    74	                              901	                                  901	                               381	                                         381	                                988	                                    988	                                 437	                                           437	
[DLG_507]-zh_Hans.po                  	             4	                 4	              1	                        1	         36	             36	           1	                     1	                              322	                                  322	                                 8	                                           8	                                343	                                    343	                                   8	                                             8	
[DLG_508]-zh_Hans.po                  	             8	                 8	              1	                        1	         43	             43	           2	                     2	                              371	                                  371	                                15	                                          15	                                394	                                    394	                                  16	                                            16	
[DLG_509]-zh_Hans.po                  	             6	                 6	              2	                        2	         45	             45	           8	                     8	                              390	                                  390	                                59	                                          59	                                418	                                    418	                                  65	                                            65	
[DLG_510]-zh_Hans.po                  	             8	                 8	              3	                        3	         45	             45	           8	                     8	                              381	                                  381	                                52	                                          52	                                407	                                    407	                                  57	                                            57	
[DLG_511]-zh_Hans.po                  	             5	                 5	              1	                        1	         39	             39	           3	                     3	                              336	                                  336	                                18	                                          18	                                359	                                    359	                                  20	                                            20	
[DLG_512]-zh_Hans.po                  	            15	                15	              8	                        8	         91	             91	          45	                    45	                              628	                                  628	                               256	                                         256	                                691	                                    691	                                 291	                                           291	
[DLG_513]-zh_Hans.po                  	             3	                 3	              1	                        1	         37	             37	           3	                     3	                              330	                                  330	                                18	                                          18	                                353	                                    353	                                  20	                                            20	
[DLG_515]-zh_Hans.po                  	            18	                18	             12	                       12	        107	            107	          68	                    68	                              755	                                  755	                               404	                                         404	                                833	                                    833	                                 460	                                           460	
[DLG_516]-zh_Hans.po                  	             5	                 5	              3	                        3	         41	             41	           7	                     7	                              350	                                  350	                                38	                                          38	                                375	                                    375	                                  42	                                            42	
[DLG_517]-zh_Hans.po                  	            17	                17	             13	                       13	        116	            116	          80	                    80	                              742	                                  742	                               419	                                         419	                                828	                                    828	                                 484	                                           484	
[DLG_518]-zh_Hans.po                  	            11	                11	              8	                        8	        101	            101	          67	                    67	                              675	                                  675	                               362	                                         362	                                754	                                    754	                                 420	                                           420	
[DLG_519]-zh_Hans.po                  	            22	                22	             16	                       16	        153	            153	         106	                   106	                             1051	                                 1051	                               657	                                         657	                               1167	                                   1167	                                 743	                                           743	
[DLG_520]-zh_Hans.po                  	            11	                11	              6	                        6	         51	             51	          15	                    15	                              408	                                  408	                                87	                                          87	                                438	                                    438	                                  96	                                            96	
[DLG_521]-zh_Hans.po                  	             8	                 8	              3	                        3	         48	             48	          10	                    10	                              395	                                  395	                                57	                                          57	                                424	                                    424	                                  64	                                            64	
[DLG_522]-zh_Hans.po                  	            31	                31	             18	                       18	         80	             80	          34	                    34	                              592	                                  592	                               200	                                         200	                                630	                                    630	                                 215	                                           215	
[DLG_523]-zh_Hans.po                  	            11	                11	              9	                        9	        141	            141	         107	                   107	                              836	                                  836	                               524	                                         524	                                954	                                    954	                                 621	                                           621	
[DLG_524]-zh_Hans.po                  	            17	                17	             15	                       15	         98	             98	          64	                    64	                              645	                                  645	                               333	                                         333	                                710	                                    710	                                 377	                                           377	
[DLG_525]-zh_Hans.po                  	             7	                 7	              2	                        2	         44	             44	           7	                     7	                              364	                                  364	                                40	                                          40	                                390	                                    390	                                  45	                                            45	
[DLG_526]-zh_Hans.po                  	             7	                 7	              2	                        2	         42	             42	           5	                     5	                              359	                                  359	                                34	                                          34	                                383	                                    383	                                  37	                                            37	
[DLG_536]-zh_Hans.po                  	             6	                 6	              4	                        4	         53	             53	          19	                    19	                              418	                                  418	                               106	                                         106	                                454	                                    454	                                 121	                                           121	
[DLG_552]-zh_Hans.po                  	            14	                14	             10	                       10	        111	            111	          75	                    75	                              669	                                  669	                               349	                                         349	                                755	                                    755	                                 414	                                           414	
[DLG_553]-zh_Hans.po                  	            11	                11	              6	                        6	         91	             91	          54	                    54	                              619	                                  619	                               286	                                         286	                                688	                                    688	                                 334	                                           334	
[DLG_554]-zh_Hans.po                  	             6	                 6	              2	                        2	         43	             43	           5	                     5	                              356	                                  356	                                22	                                          22	                                382	                                    382	                                  25	                                            25	
[DLG_555]-zh_Hans.po                  	             7	                 7	              3	                        3	         43	             43	           7	                     7	                              357	                                  357	                                32	                                          32	                                382	                                    382	                                  36	                                            36	
[DLG_565]-zh_Hans.po                  	             8	                 8	              1	                        1	         62	             62	           4	                     4	                              473	                                  473	                                28	                                          28	                                516	                                    516	                                  31	                                            31	
[DLG_566]-zh_Hans.po                  	            10	                10	              4	                        4	         66	             66	           9	                     9	                              487	                                  487	                                44	                                          44	                                532	                                    532	                                  49	                                            49	
[DLG_567]-zh_Hans.po                  	            10	                10	              6	                        6	         59	             59	          22	                    22	                              441	                                  441	                               112	                                         112	                                479	                                    479	                                 128	                                           128	
[DLG_568]-zh_Hans.po                  	            17	                17	              8	                        8	         69	             69	          18	                    18	                              527	                                  527	                               118	                                         118	                                569	                                    569	                                 127	                                           127	
[DLG_569]-zh_Hans.po                  	             7	                 7	              4	                        4	         48	             48	          13	                    13	                              396	                                  396	                                78	                                          78	                                426	                                    426	                                  87	                                            87	
[DLG_570]-zh_Hans.po                  	             3	                 3	              1	                        1	         41	             41	           7	                     7	                              354	                                  354	                                42	                                          42	                                381	                                    381	                                  48	                                            48	
[DLG_571]-zh_Hans.po                  	            10	                10	              4	                        4	         61	             61	          23	                    23	                              450	                                  450	                               118	                                         118	                                490	                                    490	                                 137	                                           137	
[DLG_575]-zh_Hans.po                  	             8	                 8	              3	                        3	         48	             48	           8	                     8	                              376	                                  376	                                35	                                          35	                                404	                                    404	                                  39	                                            39	
[DLG_576]-zh_Hans.po                  	             7	                 7	              3	                        3	         48	             48	          11	                    11	                              382	                                  382	                                54	                                          54	                                412	                                    412	                                  62	                                            62	
[DLG_577]-zh_Hans.po                  	            19	                19	              5	                        5	        125	            125	          21	                    21	                              830	                                  830	                               135	                                         135	                                919	                                    919	                                 150	                                           150	
[DLG_578]-zh_Hans.po                  	            17	                17	              6	                        6	         79	             79	          22	                    22	                              607	                                  607	                               151	                                         151	                                657	                                    657	                                 166	                                           166	
[DLG_579]-zh_Hans.po                  	            10	                10	              7	                        7	         83	             83	          48	                    48	                              527	                                  527	                               210	                                         210	                                589	                                    589	                                 251	                                           251	
[DLG_580]-zh_Hans.po                  	             6	                 6	              3	                        3	         70	             70	          35	                    35	                              477	                                  477	                               160	                                         160	                                530	                                    530	                                 192	                                           192	
[DLG_581]-zh_Hans.po                  	            36	                36	             25	                       25	        149	            149	          89	                    89	                              916	                                  916	                               474	                                         474	                               1020	                                   1020	                                 539	                                           539	
[DLG_583]-zh_Hans.po                  	            21	                21	             12	                       12	         67	             67	          25	                    25	                              512	                                  512	                               152	                                         152	                                546	                                    546	                                 164	                                           164	
[DLG_584]-zh_Hans.po                  	            13	                13	             10	                       10	         94	             94	          59	                    59	                              605	                                  605	                               291	                                         291	                                674	                                    674	                                 339	                                           339	
[DLG_585]-zh_Hans.po                  	             4	                 4	              1	                        1	         37	             37	           2	                     2	                              329	                                  329	                                15	                                          15	                                351	                                    351	                                  16	                                            16	
[docker]-zh_Hans.po                   	             7	                 7	              2	                        2	         49	             49	           7	                     7	                              394	                                  394	                                39	                                          39	                                425	                                    425	                                  44	                                            44	
[dsplit]-zh_Hans.po                   	             9	                 9	              7	                        7	         70	             70	          36	                    36	                              498	                                  498	                               186	                                         186	                                548	                                    548	                                 215	                                           215	
